id,anunciante,titulo,municipio,zona,precio_eur,precio_anterior_eur,descuento_pct,superficie_m2,tipo_suelo,referencia_catastral,notas
547,viBe,Terreno,Venta,"CA-142, Santa María de Cayón (Esles)",Santa María de Cayón,Cantabria,30000,9524,"No especificado","No especificado"
548,Inmobiliaria Barrio,Terreno,Venta,"Barrio Puente San Miguel (La Robleda), Puente San Miguel",Reocín,Cantabria,865000,4686,"Urbano (solar)","No especificado"
549,Inmobiliaria Barrio,Terreno,Venta,"Barrio la Penilla, Santa María de Cayón",Santa María de Cayón,Cantabria,180000,2300,"Urbano (solar)","Texto: edificabilidad 0,5 m2/m2"
550,Engel & Völkers Santander,Terreno,Venta,"Calle Eulalio Ferrer, Torrelavega",Torrelavega,Cantabria,2000000,9298,"Urbanizable","Anteproyecto residencia de mayores (según texto)"
551,Bankcasas.com,Terreno,Venta,"El Astillero",El Astillero,Cantabria,560800,2999,"Urbanizable","Precio anterior 623.800€ (-10%); planeamiento: Urbano no consolidado (según texto)"
552,Beyar Inmobiliaria,Terreno,Venta,"Camino San Pedruco, s/n, Bareyo",Bareyo,Cantabria,24000,3766,"No urbanizable","No permite construcción tradicional (según texto)"
553,Mónica Soto Servicios Inmobiliarios,Terreno,Venta,"Barrio Ontoria, 103, Cabezón de la Sal",Cabezón de la Sal,Cantabria,350000,3344,"Urbano (solar)","No especificado"
554,Mónica Soto Servicios Inmobiliarios,Terreno,Venta,"Barrio Luzmela-Frankin, 10, Mazcuerras",Mazcuerras,Cantabria,425000,4160,"Urbanizable","No especificado"
555,Mónica Soto Servicios Inmobiliarios,Terreno,Venta,"Barrio Gandarilla, 10, Comillas",Comillas,Cantabria,1410000,63600,"No especificado","Finca rústica (según texto)"
556,Activa Norte Gestión Inmobiliaria,Terreno,Venta,"Barrio el Llano, Udías",Udías,Cantabria,95000,15620,"Urbano (solar)","Texto: dos parcelas (3.400 m2 y 12.000 m2 aprox.)"
557,ACERO Inmobiliaria,Terreno,Venta,"Hoz de Anero, Ribamontán al Monte",Ribamontán al Monte,Cantabria,90000,4700,"Urbanizable","No especificado"
558,ACERO Inmobiliaria,Terreno,Venta,"Barrio Estradas, Ribamontán al Monte (Hoz de Anero)",Ribamontán al Monte,Cantabria,85000,3700,"Urbanizable","No especificado"
559,Espazio Inmobiliario,Terreno,Venta,"Puente San Miguel",Reocín,Cantabria,170000,1683,"Urbano (solar)","Posibilidad de segregar (según texto)"
560,Espazio Inmobiliario,Terreno,Venta,"Cerezo - Aspla - Torres, Torrelavega",Torrelavega,Cantabria,380000,7180,"Urbano (solar)","3.955 m2 urbanos + 3.225 m2 rústicos; hasta 3 viviendas (según texto)"
561,Espazio Inmobiliario,Terreno,Venta,"Sierrapando, Torrelavega",Torrelavega,Cantabria,180000,6120,"No urbanizable","Incluye nave ganadera >200 m2 (según texto)"
562,Particular/No indicado,Terreno,Venta,"La Moya, Mazcuerras",Mazcuerras,Cantabria,120000,8614,"Urbanizable","No especificado"
563,Asesoría Inmobiliaria Santos S.L.,Terreno,Venta,"Las Huertas de los Viejos, Mazcuerras",Mazcuerras,Cantabria,240000,2953,"Urbano (solar)","No especificado"
564,gestiona inmobiliaria,Terreno,Venta,"Entrambasaguas (Navajeda)",Entrambasaguas,Cantabria,130000,2100,"Urbano (solar)","Posibilidad de segregar (según texto)"
565,Inmobiliarias San Fernando,Terreno,Venta,"Alfoz de Lloredo",Alfoz de Lloredo,Cantabria,35000,3456,"No urbanizable","Incluye pequeña construcción aperos (según texto)"
566,Asesoría Inmobiliaria Santos S.L.,Terreno,Venta,"Mazcuerras",Mazcuerras,Cantabria,120000,8614,"Urbanizable","CROTU en trámite (según texto)"
567,Bankcasas.com,Terreno,Venta,"Centro, Torrelavega",Torrelavega,Cantabria,19000,113,"Urbano (solar)","Proindiviso 40,12% (según texto)"
568,Asesoría Inmobiliaria Santos S.L.,Terreno,Venta,"Udías",Udías,Cantabria,350000,5950,"Urbanizable","Texto: posibilidad de construir 595 m2 (1 planta) / 1190 m2 (2 plantas)"
569,Mónica Soto Servicios Inmobiliarios,Terreno,Venta,"Vía, Alfoz de Lloredo (La Busta)",Alfoz de Lloredo,Cantabria,23600,13332,"No urbanizable","Rústico especial protección Prados de Mies (según texto)"
570,Mónica Soto Servicios Inmobiliarios,Terreno,Venta,"Barrio Caranceja, 1033, Reocín",Reocín,Cantabria,53900,400,"Urbanizable","Precio anterior 58.900€ (-8%)"
571,MENA INMOBILIARIA,Terreno,Venta,"Ribamontán al Monte (Villaverde de Pontones)",Ribamontán al Monte,Cantabria,91000,427,"Urbano (solar)","No especificado"
572,Inmobiliarias San Fernando,Terreno,Venta,"Cartes (Riocorvo)",Cartes,Cantabria,39900,225,"Urbano (solar)","Anteproyecto casa 120 m2 (según texto)"
573,Asesoría Inmobiliaria Santos S.L.,Terreno,Venta,"Treslama, Mazcuerras",Mazcuerras,Cantabria,280600,4317,"Urbano (solar)","Edificabilidad 0,30; ocupación 30%; hasta 8 chalets de 150 m2 (según texto)"
574,altamira21.com,Terreno,Venta,"CA-146, Entrambasaguas",Entrambasaguas,Cantabria,15000,2593,"No especificado","Terreno agrario (según texto)"
575,Inmobiliaria Barrio,Terreno,Venta,"Santa María de Cayón (La Penilla)",Santa María de Cayón,Cantabria,650000,8300,"Urbano (solar)","Texto: edificabilidad 0,5 m2/m2"
576,Mónica Soto Servicios Inmobiliarios,Terreno,Venta,"Barrio el Llano, 1033, Udías",Udías,Cantabria,45000,378,"No especificado","Texto lo llama urbano; superficie ~370 m2 (según texto)"
577,Opportunity & Deal,Terreno,Venta,"Pb Riaño Ibio, Mazcuerras",Mazcuerras,Cantabria,500000,5554,"Urbano (solar)","Texto: edificabilidad 1 m3/m2; ~1850 m2 (según anuncio)"
578,Inmobiliaria las Dunas,Terreno,Venta,"Barrio Padierne, Entrambasaguas (Navajeda)",Entrambasaguas,Cantabria,100000,2073,"Urbano (solar)","Texto: posibilidad de 3 viviendas"
579,Opportunity & Deal,Terreno,Venta,"Cotera, Mazcuerras",Mazcuerras,Cantabria,650000,5600,"Urbano (solar)","Texto: edificabilidad 1 m3/m2; ~1867 m2 (según anuncio)"
580,Particular/No indicado,Terreno,Venta,"Calle la Fuente, 2, Cartes (Mijarrojos)",Cartes,Cantabria,65000,2324,"Urbano (solar)","Dos terrenos: urbano 566 m2 + rústico 1.758 m2; se venden juntos; refs catastrales (según texto)"
581,Mónica Soto Servicios Inmobiliarios,Terreno,Venta,"Calle la Torre, 2, Cabezón de la Sal",Cabezón de la Sal,Cantabria,65000,95,"No especificado","Texto sugiere usos varios (hotel/negocio); clasif no indicada"
582,Particular/No indicado,Terreno,Venta,"Barrio Golbardo, 18, Reocín",Reocín,Cantabria,130000,5289,"Urbano (solar)","Edificabilidad 2.679,79 m2 + 1.339,89 m2 sótano; plantea 21 viviendas (según texto)"
583,Espazio Inmobiliario,Terreno,Venta,"Ruiloba",Ruiloba,Cantabria,59000,21480,"No urbanizable","Conjunto fincas rústicas (según texto)"
584,Espazio Inmobiliario,Terreno,Venta,"Ruiloba",Ruiloba,Cantabria,150000,53213,"No urbanizable","Conjunto fincas rústicas (según texto)"
585,Asesoría Inmobiliaria Santos S.L.,Terreno,Venta,"Mazcuerras (Sierra de Ibio)",Mazcuerras,Cantabria,125000,3922,"Urbano (solar)","Parte rústica + parte urbana (según texto)"
586,,"Terreno en Barrio Llejo, 1, Oruña, Piélagos",Piélagos,Oruña,65000,914,"Urbano (solar)",,
587,,"Terreno en Barrio la Sierra, 3, Liencres, Piélagos",Piélagos,Liencres,315000,357,"Urbano (solar)",,"Vistas al mar"
588,EC Inmobiliaria,"Terreno en Calle Mateo Escagedo Salmón, Monte, Santander",Santander,Monte,375000,834,Urbanizable,,"Uso industrial"
589,,"Terreno en Barrio Rinconeda, Polanco",Polanco,,643900,3251,"Urbano (solar)",,"Obra parada; 8 fincas"
590,,"Terreno en Carandía, Piélagos",Piélagos,Carandía,45000,1256,"Urbano (solar)",,
591,Oyambre Servicios Inmobiliarios,"Terreno en Barrio San Julián, Zurita, Piélagos",Piélagos,Zurita,48000,3670,Urbanizable,,
592,Inmobiliarias San Fernando,"Terreno en Calle Joaquín Salas, Santander",Santander,Peñacastillo,295000,1502,"Urbano (solar)",,
593,,"Terreno en Calle Bolado, Monte, Santander",Santander,Monte,471600,9803,Urbanizable,3542024VP3134A0001DK,
594,,"Terreno en Calle Aurelio Diez, Renedo, Piélagos",Piélagos,Renedo,204000,1260,"Urbano (solar)",2707080VP2020N0001R,
595,Activa Norte Gestión Inmobiliaria,"Terreno en Carandía, Piélagos",Piélagos,Carandía,250000,6874,"Urbano (solar)",,
596,Activa Norte Gestión Inmobiliaria,"Terreno en Somarriba, Liencres, Piélagos",Piélagos,Liencres,180000,1817,"Urbano (solar)",,
597,,"Terreno en Barrio Mijares, Santillana del Mar",Santillana del Mar,Mijares,169500,10608,Urbanizable,,
598,Gestiona Consuelo,"Terreno en Barrio Polanco, Polanco",Polanco,,82000,531,"Urbano (solar)",,
599,Activa Norte Gestión Inmobiliaria,"Terreno en Santillana del Mar",Santillana del Mar,,240000,1800,"Urbano (solar)",,
600,Esparta Inmobiliaria,"Terreno en Alisal - Cazoña, Santander",Santander,Alisal,200000,1200,"Urbano (solar)",,
601,Activa Norte Gestión Inmobiliaria,"Terreno en Diseminado Santillana, Santillana del Mar",Santillana del Mar,,360000,53000,"Urbano (solar)",,
602,,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,100000,705,"Urbano (solar)",,
603,Northome Cantabria,"Terreno en Avenida Prezanes, Bezana",Santa Cruz de Bezana,Prezanes,149000,815,"Urbano (solar)",,
604,,"Terreno en Puente Arce, Piélagos",Piélagos,Arce,189000,3000,Urbanizable,,
605,,"Terreno en Zurita, Piélagos",Piélagos,Zurita,48000,3600,Urbanizable,,
606,Distrito inmobiliario,"Terreno en Barrio Rumoroso, Polanco",Polanco,,55000,5380,Urbanizable,,
607,Inmobiliaria Cantabria,"Terreno en Avenida Monseñor del Val, Suances",Suances,,102850,1285,Urbanizable,,
608,,"Terreno en Parbayón, Piélagos",Piélagos,Parbayón,158000,16062,"No urbanizable",,
609,,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,110000,395,"Urbano (solar)",,
610,Oyambre Servicios Inmobiliarios,"Terreno en Calle Alta, Santander",Santander,Centro,115000,45,"Urbano (solar)",,"Proindiviso 9%"
611,,"Terreno en Santillana del Mar",Santillana del Mar,,550000,7500,"Urbano (solar)",,
612,Lovia Homes,"Terreno en Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,,101000,15292,"No urbanizable",,
613,Activa Norte Gestión Inmobiliaria,"Terreno en Barrio Menocal, Polanco",Polanco,,65000,1650,"No urbanizable",,
614,,"Terreno en Barrio Salcedo, Vioño",Piélagos,Vioño,80000,2300,"Urbano (solar)",,
615,Magnolia Homes,"Terreno en Boo, Piélagos",Piélagos,Boo,280000,3167,"Urbano (solar)",,
616,MyCantabria,"Terreno en Barrio Menocal, Polanco",Polanco,,79000,531,"Urbano (solar)",,
617,,"Terreno en Barrio Tejera, Renedo",Piélagos,Renedo,50000,1044,,,
618,,"Terreno en Barrio Tejera, Renedo",Piélagos,Renedo,60000,3200,,,
619,,"Terreno en Barrio Riaño, Santillana del Mar",Santillana del Mar,Riaño,1400000,71450,Industrial,,
620,Bankcasas.com,"Terreno en Miengo",Miengo,,1023000,1870,Urbanizable,,
621,,"Terreno en Calle Aurelio Diez, Renedo",Piélagos,Renedo,2000000,4968,Urbanizable,,
622,Valliance Real Estate,"Terreno en Calle el Progreso, Miengo",Miengo,,565000,23741,"Urbano (solar)",,
623,Inmobiliarias San Fernando,"Terreno en Peñacastillo, Santander",Santander,Peñacastillo,450000,1634,"Urbano (solar)",,
624,,"Terreno en Herrera, Camargo",Camargo,Herrera,150000,701,Urbanizable,,
625,,"Terreno en Barrio Cianca, Parbayón",Piélagos,Parbayón,121000,13463,"No urbanizable",,
626,DCS inmuebles,"Terreno en Miengo",Miengo,,179000,3421,"Urbano (solar)",,
627,Inmobiliaria Montaña,"Terreno en Parbayón, Piélagos",Piélagos,Parbayón,310000,1307,Industrial,,
628,Norhaus Real Estate,"Terreno en Virgen del Mar, Santander",Santander,Cueto,7000,20,"No urbanizable",,
629,,"Terreno en Calle Ferrocarril, Bezana",Santa Cruz de Bezana,Bezana,555000,796,"Urbano (solar)",,
630,,"Terreno en Calle Vicente Aleixandre, Santander",Santander,Alisal,775000,1741,"Urbano (solar)",,
631,Inmobiliaria Montaña,"Terreno en Los Castros, Santander",Santander,Los Castros,253000,1050,"No urbanizable",,
632,,"Terreno en Parbayón, Piélagos",Piélagos,Parbayón,32000,3551,"No urbanizable",,
633,Inmobiliarias San Fernando,"Terreno en Arce, Piélagos",Piélagos,Arce,250000,5160,"Urbano (solar)",,
634,Inmobiliaria Cantabria,"Terreno en Suances",Suances,,84700,1290,Urbanizable,,
635,Inmobiliaria Cobo Mantecon,"Terreno en Boo, Piélagos",Piélagos,Boo,145000,5612,Urbanizable,,
636,Bankcasas.com,"Terreno en Mompia, Santa Cruz de Bezana",Santa Cruz de Bezana,Mompia,1435000,27195,"Urbano (solar)",,
637,,"Terreno en Suances",Suances,,315000,6500,Urbanizable,,
638,,"Terreno en Miengo",Miengo,,81000,2383,Urbanizable,,
639,,"Terreno en Igollo, Camargo",Camargo,Igollo,65000,523,"Urbano (solar)",,
640,cadacasa,"Terreno en Maliaño, Camargo",Camargo,Maliaño,60000,361,"Urbano (solar)",,
641,Inmobiliarias San Fernando,"Terreno en Zurita, Piélagos",Piélagos,Zurita,80000,1911,"Urbano (solar)",,
642,Rentas y Capitales,"Terreno en Rumoroso, Polanco",Polanco,,99000,681,Urbanizable,,
643,,"Terreno en Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,Prezanes,165000,8940,Urbanizable,,
644,,"Terreno en Calle Repuente, Santander",Santander,Los Castros,114000,255,"Urbano (solar)",,
645,Inmobiliarias San Fernando,"Terreno en Zurita, Piélagos",Piélagos,Zurita,75000,1467,"Urbano (solar)",,
646,Esparta Inmobiliaria,"Terreno en Miengo",Miengo,,225000,17740,"Urbano (solar)",,
647,,"Terreno en Boo, Piélagos",Piélagos,Boo,290000,2440,"Urbano (solar)",,
648,Activa Norte Gestión Inmobiliaria,"Terreno en Renedo, Piélagos",Piélagos,Renedo,85000,815,"Urbano (solar)",,
649,,"Terreno en Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,Prezanes,165000,8940,Urbanizable,,
650,,"Terreno en Monte, Santander",Santander,Monte,96000,292,Urbanizable,,
651,,"Terreno en Prezanes, Bezana",Santa Cruz de Bezana,Prezanes,500000,3104,"Urbano (solar)",,
652,,"Terreno en Santillana del Mar",Santillana del Mar,,4270,1050,,,
653,,"Terreno en Soto de la Marina, Bezana",Santa Cruz de Bezana,Soto,1100000,7369,Urbanizable,,
654,,"Terreno en Prezanes, Bezana",Santa Cruz de Bezana,Prezanes,225000,29839,Urbanizable,,
655,,"Terreno en Escobedo, Camargo",Camargo,Escobedo,46520,2326,"No urbanizable",,
656,,"Terreno en Monte, Santander",Santander,Monte,96000,292,Urbanizable,,
657,compracasa-online,"Terreno en Somarriba, Liencres",Piélagos,Liencres,180000,1817,"Urbano (solar)",,
658,,"Terreno en Polanco",Polanco,,185300,3138,"Urbano (solar)",6731407VP1063S0001TJ,
659,,"Terreno en Arce, Piélagos",Piélagos,Arce,189000,2990,Urbanizable,,
660,,"Terreno en Jesús Otero, Santander",Santander,Cueto,399000,10921,"No urbanizable",,
661,,"Terreno en Mompia, Santa Cruz de Bezana",Santa Cruz de Bezana,Mompia,1435000,53786,Urbanizable,,
662,Distrito inmobiliario,"Terreno en Mortera, Piélagos",Piélagos,Mortera,380000,2000,"Urbano (solar)",,
663,,"Terreno en Maliaño, Camargo",Camargo,Maliaño,180000,930,"Urbano (solar)",,
664,Inmobiliaria Cantabria,"Terreno en Suances",Suances,,84700,1290,Urbanizable,,
665,compracasa-online,"Terreno en Mogro",Miengo,Mogro,180000,6065,Urbanizable,,
666,,"Terreno en Arce, Piélagos",Piélagos,Arce,475000,5184,"Urbano (solar)",,
667,,"Terreno en Viveda, Santillana del Mar",Santillana del Mar,Viveda,450000,6678,"Urbano (solar)",,
668,MARVALLAR,"Terreno en Oruña, Piélagos",Piélagos,Oruña,230000,2900,"Urbano (solar)",,
669,Esparta Inmobiliaria,"Terreno en Monte, Santander",Santander,Monte,190045,4585,"Urbano (solar)",,
670,,"Terreno en Viveda, Santillana del Mar",Santillana del Mar,Viveda,150000,2000,"Urbano (solar)",,
671,,"Terreno en Suances",Suances,,340000,2207,"Urbano (solar)",,
672,,"Terreno en Zurita, Piélagos",Piélagos,Zurita,145000,2762,Urbanizable,,
673,Look & Find Santander,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,45000,1000,"No urbanizable",,
674,,"Terreno en Oruña, Piélagos",Piélagos,Oruña,80000,1000,Urbanizable,2470337VP2027S,
675,,"Terreno en Oruña, Piélagos",Piélagos,Oruña,335000,6609,"Urbano (solar)",,
676,,"Terreno en Carandía, Piélagos",Piélagos,Carandía,45000,1256,"Urbano (solar)",,
677,Esparta Inmobiliaria,"Terreno en Renedo, Piélagos",Piélagos,Renedo,204000,1481,"Urbano (solar)",,
678,Grupo Inmobiliario Tribeca,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,115000,885,Urbanizable,,
679,,"Terreno en Peñacastillo, Santander",Santander,Peñacastillo,395000,3168,"Urbano (solar)",,
680,Grupo Inmobiliario Tribeca,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,168000,701,"Urbano (solar)",,
681,Activa Norte Gestión Inmobiliaria,"Terreno en Zurita, Piélagos",Piélagos,Zurita,105000,1890,"Urbano (solar)",,
682,,"Terreno en Suances",Suances,,340000,2823,Urbanizable,,
683,,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,150000,352,"Urbano (solar)",,
684,,"Terreno en Santillana del Mar",Santillana del Mar,,169500,10508,"Urbano (solar)",,
685,,"Terreno en Santillana del Mar",Santillana del Mar,Ubiarco,129000,850,"Urbano (solar)",,
686,Activa Norte Gestión Inmobiliaria,"Terreno en Suances",Suances,,500000,754,Urbanizable,,
687,,"Terreno en Viveda, Santillana del Mar",Santillana del Mar,Viveda,191500,3448,Urbanizable,,
688,,"Terreno en Santander",Santander,Los Castros,600000,2686,"Urbano (solar)",4633212VP3143D0001UO,
689,,"Terreno en Zurita, Piélagos",Piélagos,Zurita,370000,9873,"Urbano (solar)",,
690,,"Terreno en Zurita, Piélagos",Piélagos,Zurita,416000,109758,"No urbanizable",,
691,,"Terreno en Suances",Suances,,115000,500,"Urbano (solar)",,
692,,"Terreno en Suances",Suances,,581945,8953,"No urbanizable",,
693,,"Terreno en Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,Maoño,168000,701,"Urbano (solar)",,
694,,"Terreno en Boo, Piélagos",Piélagos,Boo,250000,1730,Urbanizable,,
695,,"Terreno en Santander",Santander,General Dávila,520000,616,Urbanizable,,
696,,"Terreno en Monte, Santander",Santander,Monte,1325000,5450,"Urbano (solar)",,
697,,"Terreno en Sancibrián, Bezana",Santa Cruz de Bezana,Sancibrián,690000,2935,"Urbano (solar)",,
698,,"Terreno en Suances",Suances,,24000,300,Urbanizable,,
699,,"Terreno en Polanco",Polanco,,118000,12000,Urbanizable,,
700,Esparta Inmobiliaria,"Terreno en Rinconeda, Polanco",Polanco,,234500,1858,"Urbano (solar)",6435716VP1063S0001MJ,
701,,"Terreno en Carandía, Piélagos",Piélagos,Carandía,149900,5594,Urbanizable,,
702,,"Terreno en Boo, Piélagos",Piélagos,Boo,192500,2040,"Urbano (solar)",,
703,,"Terreno en Boo, Piélagos",Piélagos,Boo,140000,1054,Urbanizable,,
704,,"Terreno en Oruña, Piélagos",Piélagos,Oruña,230000,2900,"Urbano (solar)",,
705,,"Terreno en Oruña, Piélagos",Piélagos,Oruña,149000,12800,"No urbanizable",,
706,,"Terreno en Liencres, Piélagos",Piélagos,Liencres,347000,3200,Urbanizable,,
707,,"Terreno en Revilla, Camargo",Camargo,Revilla,150000,10600,"No urbanizable",,
708,,"Terreno en Oruña, Piélagos",Piélagos,Oruña,302800,267,"Urbano (solar)",,
709,,"Terreno en Polanco",Polanco,,293000,4796,"Urbano (solar)",,
710,,"Terreno en Peñacastillo, Santander",Santander,Peñacastillo,136850,7732,Industrial,2307803VP3120E0003UU,
711,Distrito inmobiliario,"Terreno en Miengo",Miengo,,75000,7446,"No urbanizable",,
712,,"Terreno en Polanco",Polanco,,185300,3138,"Urbano (solar)",6731407VP1063S0001TJ,
713,,"Terreno en Oruña, Piélagos",Piélagos,Oruña,76000,1681,"Urbano (solar)",,
714,,"Terreno en Vioño, Piélagos",Piélagos,Vioño,57000,613,"Urbano (solar)",,
715,,"Terreno en Monte, Santander",Santander,Monte,122000,15774,"No urbanizable",,
716,,"Terreno en Renedo, Piélagos",Piélagos,Renedo,142450,4954,Urbanizable,1602017VP2010S0001PR,
717,Activa Norte Gestión Inmobiliaria,"Terreno en Parbayón, Piélagos",Piélagos,Parbayón,30000,12024,"No urbanizable",,
718,,"Terreno en Zurita, Piélagos",Piélagos,Zurita,400000,2589,"Urbano (solar)",,
719,,"Terreno en Barcenilla de Piélagos",Piélagos,Barcenilla,46875,1216,"Urbano (solar)",2846801VP2024N0001DX,
720,Oyambre Servicios Inmobiliarios,"Terreno en Parbayón, Piélagos",Piélagos,Parbayón,300000,3493,"Urbano (solar)",,
721,,"Terreno en Polanco",Polanco,,99000,681,"Urbano (solar)",,
722,Alemany Real Estate,"Terreno en Polanco",Polanco,,293000,4796,"Urbano (solar)",,
723,,"Terreno en Polanco",Polanco,,249000,2009,"Urbano (solar)",,
724,Inmobiliarias San Fernando,"Terreno en Zurita, Piélagos",Piélagos,Zurita,77000,2267,"Urbano (solar)",,
725,,"Terreno en Peñacastillo, Santander",Santander,Peñacastillo,80000,1900,"Urbano (solar)",8903611VP21890D0001YI,
726,,"Terreno en Igollo, Camargo",Camargo,Igollo,186000,2000,"Urbano (solar)",,
727,,"Terreno en Cudón, Miengo",Miengo,Cudón,72000,2123,"Urbano (solar)",8173018VP1087S0000IM,
728,Deluxe,"Terreno en Arce, Piélagos",Piélagos,Arce,375000,4282,Urbanizable,,
729,,"Terreno en Diseminado Carrejo, 269, Cabezón de la Sal",Cabezón de la Sal,Carrejo,198000,6508,Urbanizable,,"Texto indica calificado como rústico en parte"
730,,"Terreno en Bº Cerrazo, 95, Reocín",Reocín,Cerrazo,525000,8000,"Urbano (solar)",,
731,Encomendados,"Terreno en Barrio Liandres, 18, Ruiloba",Ruiloba,Liandres,580000,2100,"Urbano (solar)",,"Edificabilidad 50%; hasta 4 viviendas"
732,Inmoreco Torrelavega S.L,"Terreno en Barrio El Costal, Reocín",Reocín,El Costal,35000,9116,"No urbanizable",,"Uso agrícola/forestal"
733,Nara grupo inmobiliario,"Terreno en Calle Villabáñez, Castañeda",Castañeda,,90000,3048,Urbanizable,,
734,,"Terreno en Riocorvo, 2A, Cartes",Cartes,Riocorvo,93000,800,"Urbano (solar)",,"Hasta 4 chalets"
735,,"Terreno en Barrio la Cotera 88, Medio Cudeyo",Medio Cudeyo,La Cotera,110000,3625,"Urbano (solar)",,"Dos parcelas; 2030 m2 urbanos"
736,,"Terreno en Lugar Barrio Ontoria, 103, Cabezón de la Sal",Cabezón de la Sal,Ontoria,350000,3344,"Urbano (solar)",,"Hasta 2 viviendas"
737,,"Terreno en Camino Real, 966, Bareyo",Bareyo,,129900,1207,"Urbano (solar)",,
738,,"Terreno en Camino del Yortal, 37, Bareyo",Bareyo,,110000,4440,Urbanizable,,
739,Northome Cantabria,"Terreno en Hornedo, Entrambasaguas",Entrambasaguas,Hornedo,50000,6058,Urbanizable,,"Tres fincas"
740,BEST HOUSE TORRELAVEGA,"Terreno en Calle Baja, Cartes",Cartes,,36000,436,"Urbano (solar)",,
741,,"Terreno en Diseminado Heras, Medio Cudeyo",Medio Cudeyo,Heras,150000,3900,Urbanizable,,
742,,"Terreno en Arenal, Penagos",Penagos,Arenal,36000,310,"Urbano (solar)",,
743,,"Terreno en La Vega, Ribamontán al Monte",Ribamontán al Monte,Villaverde de Pontones,105000,670,"Urbano (solar)",,
744,BEST HOUSE TORRELAVEGA,"Terreno en Torres Arriba, Torrelavega",Torrelavega,Torres,75000,979,"Urbano (solar)",,"Edificación antigua"
745,,"Terreno en Diseminado Heras, Medio Cudeyo",Medio Cudeyo,Heras,150000,3000,Urbanizable,,
746,,"Terreno en Calle Talur, 13, Penagos",Penagos,,79500,2097,Urbanizable,,
747,,"Terreno en Barrio Cubiles, Marina de Cudeyo",Marina de Cudeyo,Cubiles,175000,14600,Urbanizable,,"Requiere CROTU"
748,,"Terreno en Barrio Rubayo, Marina de Cudeyo",Marina de Cudeyo,Rubayo,110000,2570,Urbanizable,,
749,,"Terreno en Cubiles, Marina de Cudeyo",Marina de Cudeyo,Cubiles,65000,9500,Urbanizable,,
750,,"Terreno en San Pedro de Rudaguera, Alfoz de Lloredo",Alfoz de Lloredo,San Pedro,70000,4200,Urbanizable,,
751,,"Terreno en Barrio Vayas, Marina de Cudeyo",Marina de Cudeyo,Vayas,100000,13000,Urbanizable,,
752,,"Terreno en Catañanera, Penagos",Penagos,Cabárceno,75000,2277,Urbanizable,,
753,,"Terreno en Barrio la Pelia, Ribamontán al Monte",Ribamontán al Monte,Anero,170000,4991,Urbanizable,,"Polígono 616 Parcela 37"
754,wejaus,"Terreno en CA-131, Alfoz de Lloredo",Alfoz de Lloredo,Toñanes,109000,8386,Urbanizable,,
755,,"Terreno en Camino de Solorga, Bareyo",Bareyo,,134000,1613,"Urbano (solar)",,
756,,"Terreno en Barrio la Penilla, Santa María de Cayón",Santa María de Cayón,La Penilla,34500,150,,,"Uso restringido comunidad"
757,,"Terreno en Pino, Villaescusa",Villaescusa,Obregón,75000,1158,"Urbano (solar)",,
758,Gestion inmobiliaria gumar,"Terreno en Comillas",Comillas,Ruiseñada,220000,1244,"Urbano (solar)",,"Licencia segregación"
759,,"Terreno en Barrio Pontejos, Marina de Cudeyo",Marina de Cudeyo,Pontejos,190000,4500,Urbanizable,,
760,,"Terreno en Barrio la Pelia, Ribamontán al Monte",Ribamontán al Monte,Anero,137000,4032,Urbanizable,,"Polígono 406 Parcela 22"
761,,"Terreno en Calle el Quejigal, 1109, Bareyo",Bareyo,Güemes,115000,1250,"Urbano (solar)",,
762,,"Terreno en Mies de Haza, Marina de Cudeyo",Marina de Cudeyo,Gajano,480000,7200,"No urbanizable",,"Incluye suelo urbano y rústico"
763,,"Terreno en Calle el Quejigal, 1460, Bareyo",Bareyo,,115000,2789,Urbanizable,,
764,,"Terreno en Barrio Balabarca, Marina de Cudeyo",Marina de Cudeyo,Orejo,250000,19513,"No urbanizable",,"Precio anterior 280000"
765,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Somo, Ribamontán al Mar",Ribamontán al Mar,Somo,450000,1000,"Urbano (solar)",,
766,,"Terreno en Castanedo, Ribamontán al Mar",Ribamontán al Mar,Castanedo,130000,1413,Urbanizable,,
767,,"Terreno en Castanedo, Ribamontán al Mar",Ribamontán al Mar,Castanedo,159000,2600,"Urbano (solar)",,
768,,"Terreno en Suesa, Ribamontán al Mar",Ribamontán al Mar,Suesa,721000,4200,"Urbano (solar)",,"Hasta 7 viviendas"
769,,"Terreno en Castanedo, Ribamontán al Mar",Ribamontán al Mar,Castanedo,120000,1409,Urbanizable,,
